Nome do Município;ID_ESCOLA;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023
Fortaleza;23064854;ESCOLA MUNICIPAL PROFESSORA AIDA SANTOS E SILVA;Municipal;;;;;;
Fortaleza;23064870;ESCOLA MUNICIPAL ALBA FROTA;Municipal;;;;;;
Fortaleza;23064927;ESCOLA MUNICIPAL PROFESSORA ALDACI BARBOSA;Municipal;84.5;1.8;0.0;3.3;10.4;86.6
Fortaleza;23064994;ESCOLA MUNICIPAL ALMERINDA DE ALBUQUERQUE;Municipal;;;;;;
Fortaleza;23065028;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALVARO COSTA;Municipal;97.0;3.0;0.0;0.0;0.0;99.4
Fortaleza;23065052;ESCOLA MUNICIPAL ALVORADA;Municipal;;;;;;
Fortaleza;23065125;ESCOLA MUNICIPAL PROFESSOR AMERICO BARREIRA;Municipal;66.4;0.0;10.0;0.0;23.6;71.4
Fortaleza;23065192;ESCOLA MUNICIPAL ANGELICA GURGEL;Municipal;83.3;0.0;4.1;0.0;12.6;85.35
Fortaleza;23065206;ESCOLA MUNICIPAL PROFESSOR ANISIO TEIXEIRA;Municipal;;;;;;
Fortaleza;23065265;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DOM ANTONIO DE ALMEIDA LUSTOSA;Municipal;93.9;6.1;0.0;0.0;0.0;98.78
Fortaleza;23065311;ESCOLA MUNICIPAL ANTONIO DIOGO DE SIQUEIRA;Municipal;;;;;;
Fortaleza;23065346;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ANTONIO GIRAO BARROSO;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
Fortaleza;23065397;ESCOLA MUNICIPAL ANTONIO SALES;Municipal;;;;;;
Fortaleza;23065621;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE;Municipal;95.3;0.0;0.0;0.0;4.7;95.3
Fortaleza;23065680;ESCOLA MUNICIPAL AUTRAN NUNES;Municipal;;;;;;
Fortaleza;23065834;ESCOLA MUNICIPAL BARBARA DE ALENCAR;Municipal;97.4;0.0;2.6;0.0;0.0;98.7
Fortaleza;23065958;ESCOLA MUNICIPAL PROFESSORA BELARMINA CAMPOS;Municipal;92.0;0.0;8.0;0.0;0.0;96.0
Fortaleza;23066520;ESCOLA MUNICIPAL CASIMIRO JOSE DE LIMA FILHO;Municipal;;;;;;
Fortaleza;23066628;ESCOLA MUNICIPAL CASTELO DE CASTRO;Municipal;;;;;;
Fortaleza;23066660;ESCOLA MUNICIPAL CATULO DA PAIXAO CEARENSE;Municipal;;;;;;
Fortaleza;23067330;ESCOLA MUNICIPAL COLONIA Z-8;Municipal;;;;;;
Fortaleza;23067390;ESCOLA MUNICIPAL CONCEICAO MOURAO;Municipal;88.7;0.0;4.3;0.0;7.0;90.85000000000001
Fortaleza;23067462;ESCOLA MUNICIPAL PROFESSORA CONSUELO AMORA;Municipal;;;;;;
Fortaleza;23067543;ESCOLA MUNICIPAL CREUSA DO CARMO ROCHA;Municipal;86.5;0.0;13.5;0.0;0.0;93.25
Fortaleza;23067691;ESCOLA MUNICIPAL CRISTO REDENTOR;Municipal;94.5;0.0;5.5;0.0;0.0;97.25
Fortaleza;23067756;ESCOLA MUNICIPAL SAO CURA DARS;Municipal;;;;;;
Fortaleza;23067764;ESCOLA MUNICIPAL DONA DAGMAR GENTIL;Municipal;;;;;;
Fortaleza;23067829;ESCOLA MUNICIPAL DEMOCRITO ROCHA;Municipal;86.3;0.0;1.7;2.5;9.5;87.64999999999999
Fortaleza;23067934;ESCOLA MUNICIPAL ADROALDO TEIXEIRA CASTELO;Municipal;;;;;;
Fortaleza;23067977;ESCOLA MUNICIPAL DOLORES ALCANTARA;Municipal;75.7;5.0;3.0;0.0;16.3;81.2
Fortaleza;23068167;ESCOLA MUNICIPAL EDILSON BRASIL SOAREZ;Municipal;81.7;0.9;0.4;0.0;17.0;82.62
Fortaleza;23068175;ESCOLA MUNICIPAL PROFESSORA EDITH BRAGA;Municipal;;;;;;
Fortaleza;23068302;ESCOLA MUNICIPAL ELEAZAR DE CARVALHO;Municipal;;;;;;
Fortaleza;23068469;ESCOLA MUNICIPAL PADRE JOSEFINO CABRAL;Municipal;;;;;;
Fortaleza;23068892;ESCOLA MUNICIPAL FREI LAURO SCHWARTE;Municipal;90.9;0.0;9.1;0.0;0.0;95.45
Fortaleza;23069015;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ADEMAR NUNES BATISTA;Municipal;91.3;8.7;0.0;0.0;0.0;98.25999999999999
Fortaleza;23069198;ESCOLA MUNICIPAL SANTA TEREZA;Municipal;84.1;0.0;15.9;0.0;0.0;92.05
Fortaleza;23069317;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA ANTONIETA CALS;Municipal;84.9;0.0;0.0;3.2;11.9;85.54
Fortaleza;23069350;ESCOLA MUNICIPAL PROFESSOR JOSE MILITAO DE ALBUQUERQUE;Municipal;85.1;3.6;11.3;0.0;0.0;93.63
Fortaleza;23069368;ESCOLA MUNICIPAL MOZART PINTO;Municipal;;;;;;
Fortaleza;23069538;ESCOLA MUNICIPAL HONORIO BEZERRA;Municipal;;;;;;
Fortaleza;23069937;ESCOLA MUNICIPAL FAUSTINO DE ALBUQUERQUE;Municipal;;;;;;
Fortaleza;23069945;ESCOLA MUNICIPAL GOVERNADOR FAUSTINO DE ALBUQUERQUE;Municipal;90.4;0.0;5.7;0.0;3.9;93.25
Fortaleza;23069953;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
Fortaleza;23070013;ESCOLA MUNICIPAL PROFESSOR FRANCISCO DE MELO JABORANDI;Municipal;;;;;;
Fortaleza;23070021;ESCOLA MUNICIPAL FRANCISCO DOMINGOS DA SILVA;Municipal;99.1;0.0;0.9;0.0;0.0;99.55
Fortaleza;23070030;ESCOLA MUNICIPAL FRANCISCO EDMILSON PINHEIRO;Municipal;;;;;;
Fortaleza;23070048;ESCOLA MUNICIPAL PROFESSOR FRANCISCO MAURICIO DE MATTOS DOURADO;Municipal;;;;;;
Fortaleza;23070056;ESCOLA MUNICIPAL FRANCISCO NUNES CAVALCANTE;Municipal;;;;;;
Fortaleza;23070137;ESCOLA MUNICIPAL CONEGO FRANCISCO PEREIRA DA SILVA;Municipal;67.2;0.0;1.1;0.0;31.7;67.75
Fortaleza;23070188;ESCOLA MUNICIPAL PROFESSORA FERNANDA MARIA DE ALENCAR COLARES;Municipal;96.3;0.0;3.7;0.0;0.0;98.14999999999999
Fortaleza;23070250;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FILGUEIRAS LIMA;Municipal;100.0;0.0;0.0;0.0;0.0;100.0
Fortaleza;23070471;ESCOLA MUNICIPAL GABRIEL CAVALCANTE;Municipal;;;;;;
Fortaleza;23070846;ESCOLA MUNICIPAL DE TEMPO INTEGRAL GUIOMAR DA SILVA ALMEIDA;Municipal;90.6;0.0;0.0;0.0;9.4;90.6
Fortaleza;23070870;ESCOLA MUNICIPAL GUSTAVO BARROSO;Municipal;89.0;6.6;0.0;0.0;4.4;94.28
Fortaleza;23070960;ESCOLA MUNICIPAL HENRIQUETA GALENO;Municipal;94.7;0.0;2.3;0.0;3.0;95.85000000000001
Fortaleza;23071028;ESCOLA MUNICIPAL HILBERTO SILVA;Municipal;;;;;;
Fortaleza;23071168;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;Municipal;86.7;2.0;7.9;0.0;3.4;92.25
