ID_ESCOLA;DSU_2023
23064854;
23064870;
23064927;91.4
23064994;
23065028;100.0
23065052;
23065125;81.3
23065192;90.7
23065206;
23065265;100.0
23065311;
23065346;100.0
23065397;
23065621;93.8
23065680;
23065834;100.0
23065958;100.0
23066520;
23066628;
23066660;
23067330;
23067390;96.3
23067462;
23067543;100.0
23067691;100.0
23067756;
23067764;
23067829;90.7
23067934;
23067977;86.8
23068167;83.3
23068175;
23068302;
23068469;
23068892;100.0
23069015;100.0
23069198;100.0
23069317;90.5
23069350;100.0
23069368;
23069538;
23069937;
23069945;95.3
23069953;100.0
23070013;
23070021;100.0
23070030;
23070048;
23070056;
23070137;84.6
23070188;100.0
23070250;100.0
23070471;
23070846;86.7
23070870;94.7
23070960;97.6
23071028;
23071168;94.9
23071427;96.9
23071435;100.0
23071796;
23071818;100.0
23071850;100.0
23071990;
23072016;
23072156;
23072180;100.0
23072202;89.2
23072229;96.2
23072245;93.3
23072270;97.3
23072350;
23072504;96.9
23072512;100.0
23072520;93.6
23072555;
23072563;
23072911;92.1
23073080;97.3
23073144;100.0
23073535;
23073543;90.3
23073608;88.0
23073667;93.9
23073748;93.5
23073764;100.0
23073772;100.0
23073870;95.1
23073934;91.4
23074078;92.3
23074086;97.6
23074124;84.4
23074140;100.0
23074582;
23074779;
23074876;100.0
23075015;
23075058;
23075074;100.0
23075120;97.2
23075155;98.1
23075856;
23076682;
23076720;95.7
23076798;
23077131;87.5
23077450;100.0
23077468;100.0
23077611;
23077794;88.1
23078006;91.9
23078030;95.2
23078162;
23078413;100.0
23078553;94.3
23078596;100.0
23078600;100.0
23078626;100.0
23078677;
23078693;
23078723;
23078740;85.0
23078766;91.7
23080124;100.0
23184221;
23184558;100.0
23184680;
23184779;86.7
23184914;95.8
23186160;100.0
23186690;
23186771;
23186909;
23186950;
23187778;92.1
23187840;
23188375;
23189681;
23190787;
23198486;
23198818;100.0
23206152;
23212543;93.3
23213140;96.6
23213736;
23214899;100.0
23215267;97.4
23222964;
23227419;
23233702;
23233729;
23233800;
23233834;
23233842;100.0
23233877;
23234067;94.4
23234172;
23234300;
23234318;97.6
23234407;
23234423;
23234440;
23235080;100.0
23235128;
23235365;
23235373;
23242469;86.2
23242710;
23244283;
23244291;
23244305;95.7
23244976;
23245182;
23245212;
23245379;
23250275;
23250429;
23250550;100.0
23250623;
23250631;100.0
23250666;
23255641;100.0
23255668;100.0
23255749;
23255854;
23255889;98.0
23255951;
23255960;
23256001;
23256036;
23256044;
23256060;100.0
23256460;
23256478;
23256486;
23256559;
23256591;
23256605;
23256656;
23256699;
23256737;
23256761;100.0
23256796;
23256850;
23256907;
23256915;
23256923;
23256966;
23256990;
23257059;100.0
23257075;
23257105;
23257172;
23257202;
23257237;
23257300;
23257334;
23257342;
23257369;90.5
23257393;
23257440;
23257482;
23257520;
23257644;
23257652;
23257679;
23257695;
23257725;
23257750;
23257873;
23257881;
23259418;100.0
23259540;100.0
23259558;61.1
23259566;
23262605;100.0
23262613;100.0
23263040;100.0
23263075;
23263113;
23263121;
23263130;96.2
23263148;
23263296;
23263318;100.0
23263326;
23263334;
23264144;
23264152;
23264160;
23264179;
23264187;92.3
23264209;93.5
23264780;100.0
23264799;88.9
23264810;
23269170;100.0
23270560;
23270675;100.0
23271493;90.5
23271507;
23271531;
23271540;
23272007;100.0
23272694;88.2
23272708;100.0
23272716;
23272724;90.3
23272732;
23272740;
23272759;
23273747;100.0
23273755;93.8
23273763;100.0
23274034;100.0
23274930;83.3
23275006;86.4
23275146;73.9
23275154;100.0
23277238;85.0
23277246;83.3
23277408;100.0
23277564;100.0
23277572;94.4
23279109;100.0
23279320;100.0
23279621;90.9
23280689;100.0
23280697;94.1
23280700;95.7
23302615;88.5
23304812;
23311614;
23323469;84.0
23324244;
23324252;
23324260;
23324279;100.0
23325216;83.3
23325224;88.4
23330015;
23331615;100.0
23445645;
23529989;100.0
23546018;
23546026;
23546999;
23547987;100.0
23547995;100.0
