ID_ESCOLA;ICG_2023
23064854;3
23064870;3
23064927;3
23064994;3
23065028;2
23065052;3
23065125;5
23065192;5
23065206;3
23065265;2
23065311;5
23065346;2
23065397;3
23065621;4
23065680;3
23065834;3
23065958;4
23066520;3
23066628;3
23066660;3
23067330;3
23067390;3
23067462;5
23067543;5
23067691;3
23067756;3
23067764;2
23067829;3
23067934;6
23067977;3
23068167;3
23068175;3
23068302;3
23068469;2
23068892;3
23069015;2
23069198;3
23069317;3
23069350;3
23069368;3
23069538;2
23069937;3
23069945;3
23069953;3
23070013;3
23070021;5
23070030;3
23070048;6
23070056;3
23070137;4
23070188;4
23070250;3
23070471;5
23070846;2
23070870;4
23070960;6
23071028;2
23071168;3
23071427;6
23071435;6
23071796;3
23071818;4
23071850;6
23071990;3
23072016;2
23072156;3
23072180;4
23072202;3
23072229;3
23072245;3
23072270;3
23072350;3
23072504;3
23072512;3
23072520;4
23072555;3
23072563;3
23072911;5
23073080;5
23073144;6
23073535;3
23073543;4
23073608;4
23073667;4
23073748;4
23073764;4
23073772;5
23073870;3
23073934;3
23074078;6
23074086;3
23074124;4
23074140;3
23074582;3
23074779;5
23074876;4
23075015;3
23075058;3
23075074;4
23075120;3
23075155;3
23075856;5
23076682;2
23076720;4
23076798;3
23077131;3
23077450;3
23077468;3
23077611;2
23077794;5
23078006;6
23078030;4
23078162;3
23078413;6
23078553;3
23078596;3
23078600;4
23078626;3
23078677;5
23078693;3
23078723;6
23078740;2
23078766;4
23080124;3
23184221;2
23184558;5
23184680;5
23184779;5
23184914;6
23186160;4
23186690;3
23186771;3
23186909;3
23186950;3
23187778;3
23187840;3
23188375;3
23189681;3
23190787;3
23198486;3
23198818;4
23206152;3
23212543;3
23213140;3
23213736;3
23214899;4
23215267;3
23222964;2
23227419;3
23233702;2
23233729;3
23233800;3
23233834;3
23233842;4
23233877;3
23234067;4
23234172;3
23234300;3
23234318;6
23234407;5
23234423;3
23234440;3
23235080;4
23235128;3
23235365;3
23235373;3
23242469;3
23242710;3
23244283;3
23244291;3
23244305;3
23244976;2
23245182;3
23245212;2
23245379;3
23250275;3
23250429;2
23250550;4
23250623;3
23250631;4
23250666;6
23255641;3
23255668;3
23255749;3
23255854;2
23255889;3
23255951;2
23255960;3
23256001;2
23256036;3
23256044;3
23256060;3
23256460;3
23256478;3
23256486;3
23256559;3
23256591;2
23256605;3
23256656;3
23256699;3
23256737;3
23256761;4
23256796;3
23256850;3
23256907;3
23256915;2
23256923;3
23256966;3
23256990;3
23257059;3
23257075;3
23257105;3
23257172;3
23257202;3
23257237;3
23257300;3
23257334;3
23257342;3
23257369;6
23257393;3
23257440;3
23257482;3
23257520;3
23257644;2
23257652;3
23257679;2
23257695;3
23257725;3
23257750;3
23257873;3
23257881;3
23259418;3
23259540;2
23259558;2
23259566;1
23262605;4
23262613;2
23263040;4
23263075;3
23263113;3
23263121;3
23263130;6
23263148;3
23263296;3
23263318;3
23263326;3
23263334;3
23264144;3
23264152;6
23264160;3
23264179;3
23264187;4
23264209;6
23264780;2
23264799;2
23264810;1
23269170;4
23270560;3
23270675;4
23271493;2
23271507;3
23271531;3
23271540;3
23272007;2
23272694;3
23272708;2
23272716;3
23272724;4
23272732;2
23272740;3
23272759;3
23273747;2
23273755;3
23273763;3
23274034;3
23274930;2
23275006;2
23275146;2
23275154;2
23277238;2
23277246;2
23277408;2
23277564;2
23277572;3
23279109;2
23279320;4
23279621;2
23280689;2
23280697;4
23280700;3
23302615;3
23304812;3
23311614;3
23323469;3
23324244;1
23324252;3
23324260;3
23324279;3
23325216;4
23325224;3
23330015;3
23331615;2
23445645;3
23529989;2
23546018;3
23546026;3
23546999;2
23547987;4
23547995;4
