ID_ESCOLA;NO_ESCOLA;REDE;RENDIMENTO_2023;SAEB_MAT_2023;SAEB_PORT_2023;SAEB_MEDIA_2023;IDEB_2023
23064927;ESCOLA MUNICIPAL PROFESSORA ALDACI BARBOSA;Municipal;0.98992;247.8;253.26;5.017667;5.0
23065028;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALVARO COSTA;Municipal;0.997227;250.64;259.65;5.1715;5.2
23065125;ESCOLA MUNICIPAL PROFESSOR AMERICO BARREIRA;Municipal;0.993465;257.17;260.79;5.299333;5.3
23065192;ESCOLA MUNICIPAL ANGELICA GURGEL;Municipal;1.0;253.8;266.45;5.3375;5.3
23065265;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DOM ANTONIO DE ALMEIDA LUSTOSA;Municipal;1.0;257.25;262.71;5.332667;5.3
23065346;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ANTONIO GIRAO BARROSO;Municipal;1.0;284.3;286.03;6.172167;6.2
23065621;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE;Municipal;0.979518;274.66;285.29;5.999167;5.9
23065834;ESCOLA MUNICIPAL BARBARA DE ALENCAR;Municipal;0.988167;238.28;247.86;4.769;4.7
23065958;ESCOLA MUNICIPAL PROFESSORA BELARMINA CAMPOS;Municipal;0.996463;250.46;268.6;5.317667;5.3
23067390;ESCOLA MUNICIPAL CONCEICAO MOURAO;Municipal;0.994712;246.36;261.83;5.1365;5.1
23067543;ESCOLA MUNICIPAL CREUSA DO CARMO ROCHA;Municipal;1.0;240.29;253.72;4.900167;4.9
23067691;ESCOLA MUNICIPAL CRISTO REDENTOR;Municipal;0.968864;242.75;250.56;4.8885;4.7
23067829;ESCOLA MUNICIPAL DEMOCRITO ROCHA;Municipal;0.987411;232.19;249.37;4.692667;4.6
23067977;ESCOLA MUNICIPAL DOLORES ALCANTARA;Municipal;0.988333;241.44;259.87;5.021833;5.0
23068167;ESCOLA MUNICIPAL EDILSON BRASIL SOAREZ;Municipal;0.985692;247.52;261.57;5.1515;5.1
23068892;ESCOLA MUNICIPAL FREI LAURO SCHWARTE;Municipal;0.997481;259.95;272.79;5.545667;5.5
23069015;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ADEMAR NUNES BATISTA;Municipal;1.0;261.29;272.84;5.568833;5.6
23069317;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA ANTONIETA CALS;Municipal;0.993964;255.53;273.15;5.478;5.4
23069350;ESCOLA MUNICIPAL PROFESSOR JOSE MILITAO DE ALBUQUERQUE;Municipal;1.0;251.02;269.24;5.337667;5.3
23069945;ESCOLA MUNICIPAL GOVERNADOR FAUSTINO DE ALBUQUERQUE;Municipal;0.98463;237.94;251.53;4.8245;4.8
23069953;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA;Municipal;1.0;280.51;284.05;6.076;6.1
23070021;ESCOLA MUNICIPAL FRANCISCO DOMINGOS DA SILVA;Municipal;0.983893;245.08;257.1;5.036333;5.0
23070137;ESCOLA MUNICIPAL CONEGO FRANCISCO PEREIRA DA SILVA;Municipal;0.971296;245.65;256.57;5.037;4.9
23070188;ESCOLA MUNICIPAL PROFESSORA FERNANDA MARIA DE ALENCAR COLARES;Municipal;1.0;275.77;287.14;6.0485;6.0
23070250;ESCOLA MUNICIPAL DE TEMPO INTEGRAL FILGUEIRAS LIMA;Municipal;1.0;271.99;277.09;5.818;5.8
23070846;ESCOLA MUNICIPAL DE TEMPO INTEGRAL GUIOMAR DA SILVA ALMEIDA;Municipal;1.0;261.74;271.58;5.555333;5.6
23070870;ESCOLA MUNICIPAL GUSTAVO BARROSO;Municipal;0.976716;260.52;273.56;5.568;5.4
23070960;ESCOLA MUNICIPAL HENRIQUETA GALENO;Municipal;0.992441;233.94;246.29;4.6705;4.6
23071168;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;Municipal;1.0;249.92;257.29;5.120167;5.1
23071427;ESCOLA MUNICIPAL ISMAEL PORDEUS;Municipal;0.972863;242.85;256.21;4.984333;4.8
23071435;ESCOLA MUNICIPAL PROFESSOR JACINTO BOTELHO;Municipal;1.0;250.8;258.59;5.1565;5.2
23071850;ESCOLA MUNICIPAL JOAO MENDES DE ANDRADE;Municipal;0.998493;231.65;248.06;4.661833;4.7
23072180;ESCOLA MUNICIPAL PADRE ARIMATEIA DINIZ;Municipal;1.0;252.75;259.09;5.197333;5.2
23072202;ESCOLA MUNICIPAL JOSE AYRTON TEIXEIRA;Municipal;1.0;241.2;254.85;4.934167;4.9
