ID_ESCOLA;TDI_2023
23064854;8.2
23064870;6.9
23064927;16.0
23064994;5.6
23065028;18.0
23065052;6.2
23065125;14.5
23065192;14.9
23065206;3.2
23065265;5.1
23065311;9.6
23065346;5.4
23065397;7.0
23065621;11.4
23065680;7.5
23065834;10.4
23065958;9.5
23066520;1.5
23066628;5.3
23066660;4.2
23067330;5.0
23067390;15.3
23067462;5.2
23067543;13.2
23067691;16.4
23067756;6.9
23067764;7.4
23067829;15.9
23067934;8.6
23067977;17.6
23068167;16.9
23068175;4.1
23068302;8.0
23068469;4.6
23068892;18.8
23069015;8.4
23069198;5.7
23069317;12.5
23069350;11.9
23069368;6.6
23069538;11.9
23069937;6.2
23069945;19.2
23069953;13.3
23070013;7.4
23070021;16.7
23070030;7.2
23070048;7.3
23070056;3.4
23070137;12.3
23070188;9.2
23070250;13.5
23070471;6.2
23070846;7.0
23070870;10.9
23070960;17.1
23071028;11.0
23071168;20.3
23071427;18.1
23071435;12.6
23071796;5.8
23071818;5.2
23071850;15.4
23071990;3.7
23072016;6.4
23072156;10.9
23072180;11.9
23072202;18.9
23072229;14.5
23072245;17.6
23072270;16.2
23072350;8.5
23072504;18.0
23072512;13.6
23072520;13.4
23072555;3.5
23072563;7.8
23072911;17.0
23073080;20.2
23073144;11.3
23073535;9.1
23073543;12.6
23073608;11.5
23073667;21.0
23073748;8.7
23073764;11.6
23073772;21.6
23073870;18.2
23073934;11.6
23074078;11.0
23074086;15.1
23074124;13.6
23074140;19.6
23074582;3.8
23074779;3.2
23074876;18.4
23075015;4.7
23075058;4.8
23075074;14.5
23075120;17.7
23075155;18.3
23075856;4.3
23076682;6.2
23076720;8.4
23076798;4.7
23077131;18.9
23077450;14.0
23077468;14.6
23077611;7.8
23077794;19.5
23078006;12.0
23078030;13.5
23078162;4.1
23078413;15.8
23078553;17.8
23078596;22.6
23078600;14.1
23078626;19.9
23078677;5.8
23078693;8.2
23078723;6.2
23078740;4.7
23078766;13.7
23080124;14.8
23184221;8.0
23184558;22.4
23184680;6.7
23184779;17.6
23184914;15.9
23186160;12.1
23186690;7.5
23186771;3.7
23186909;9.5
23186950;10.4
23187778;17.0
23187840;3.1
23188375;7.6
23189681;4.9
23190787;9.2
23198486;7.7
23198818;12.7
23206152;4.4
23212543;24.0
23213140;6.9
23213736;1.4
23214899;6.4
23215267;15.8
23222964;9.2
23227419;6.2
23233702;7.6
23233729;2.8
23233800;4.3
23233834;3.8
23233842;16.2
23233877;7.4
23234067;7.2
23234172;3.3
23234300;5.8
23234318;16.8
23234407;7.2
23234423;9.1
23234440;3.0
23235080;14.0
23235128;4.3
23235365;5.4
23235373;7.5
23242469;17.0
23242710;3.9
23244283;4.4
23244291;1.3
23244305;16.5
23244976;4.4
23245182;3.8
23245212;9.2
23245379;6.9
23250275;3.3
23250429;3.8
23250550;11.5
23250623;4.0
23250631;8.0
23250666;6.2
23255641;14.4
23255668;16.8
23255749;6.1
23255854;0.0
23255889;19.3
23255951;8.4
23255960;1.1
23256001;5.2
23256036;5.7
23256044;1.9
23256060;27.0
23256460;3.9
23256478;6.9
23256486;2.9
23256559;2.0
23256591;11.8
23256605;2.8
23256656;4.6
23256699;1.7
23256737;4.6
23256761;8.7
23256796;4.4
23256850;10.7
23256907;4.8
23256915;4.9
23256923;7.2
23256966;4.0
23256990;6.8
23257059;12.3
23257075;3.9
23257105;1.8
23257172;3.0
23257202;7.0
23257237;9.8
23257300;9.9
23257334;1.0
23257342;6.8
23257369;8.1
23257393;7.2
23257440;6.9
23257482;7.1
23257520;0.0
23257644;10.7
23257652;1.8
23257679;4.0
23257695;2.5
23257725;2.5
23257750;7.4
23257873;6.4
23257881;2.1
23259418;23.3
23259540;6.8
23259558;2.7
23259566;6.0
23262605;7.9
23262613;6.3
23263040;13.8
23263075;7.4
23263113;5.8
23263121;3.9
23263130;9.0
23263148;7.6
23263296;3.8
23263318;13.8
23263326;1.9
23263334;3.0
23264144;4.6
23264152;4.1
23264160;6.7
23264179;5.0
23264187;6.5
23264209;15.2
23264780;3.6
23264799;5.0
23264810;6.4
23269170;15.0
23270560;3.6
23270675;11.8
23271493;4.5
23271507;6.5
23271531;6.2
23271540;0.0
23272007;1.9
23272694;28.1
23272708;9.3
23272716;8.0
23272724;8.9
23272732;0.8
23272740;9.0
23272759;7.6
23273747;12.8
23273755;15.5
23273763;10.2
23274034;14.1
23274930;4.1
23275006;0.9
23275146;5.5
23275154;10.3
23277238;10.0
23277246;6.6
23277408;10.1
23277564;10.3
23277572;11.4
23279109;15.4
23279320;7.3
23279621;17.9
23280689;12.7
23280697;14.2
23280700;18.3
23302615;17.8
23304812;5.1
23311614;0.0
23323469;20.6
23324244;3.4
23324252;3.4
23324260;3.4
23324279;19.3
23325216;7.7
23325224;17.3
23330015;1.9
23331615;8.2
23445645;1.5
23529989;1.5
23546018;4.9
23546026;3.7
23546999;7.9
23547987;14.8
23547995;14.5
