ID_ESCOLA;NO_ESCOLA;REDE;RENDIMENTO_2023;SAEB_MAT_2023;SAEB_PORT_2023;SAEB_MEDIA_2023;IDEB_2023;INSE_2023;N_ALUNOS_INSE;INSE_CLASSIFICACAO;TDI_2023;IED_2023;Nome do Município;Nome da Escola;Dependência Administrativa;G1;G2;G3;G4;G5;AFD_2023;DSU_2023;IRD_2023;ATU_2023;HAD_2023;ICG_2023;TNR_2023;SPAECE_PORT_2023;SPAECE_MAT_2023;SPAECE_MEDIA_2023;INF_2023;ATU_CENSO_2023;PCB_2023;PCH_2023
23064927;ESCOLA MUNICIPAL PROFESSORA ALDACI BARBOSA;Municipal;0.98992;247.8;253.26;5.017667;5.0;4.6;268;Nível IV;16.0;375.6;Fortaleza;ESCOLA MUNICIPAL PROFESSORA ALDACI BARBOSA;Municipal;84.5;1.8;0.0;3.3;10.4;86.6;91.4;2.857899;31.5;5.8;3;1.4;253.699118941714;241.077136369488;247.388127655601;9.0;31.516129032258064;18.19757365684575;49.53940634595701
23065028;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALVARO COSTA;Municipal;0.997227;250.64;259.65;5.1715;5.2;4.52;99;Nível IV;18.0;314.20000000000005;Fortaleza;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ALVARO COSTA;Municipal;97.0;3.0;0.0;0.0;0.0;99.4;100.0;2.76455;33.3;10.0;2;3.0;253.454972964691;244.630205494118;249.04258922940448;8.0;33.25;20.37735849056604;53.63408521303258
23065125;ESCOLA MUNICIPAL PROFESSOR AMERICO BARREIRA;Municipal;0.993465;257.17;260.79;5.299333;5.3;4.38;204;Nível III;14.5;390.7000000000001;Fortaleza;ESCOLA MUNICIPAL PROFESSOR AMERICO BARREIRA;Municipal;66.4;0.0;10.0;0.0;23.6;71.4;81.3;2.394396;32.1;6.8;5;0.0;256.575334153941;241.503275648352;249.0393049011465;10.0;31.875;12.736660929432016;50.882352941176464
23065192;ESCOLA MUNICIPAL ANGELICA GURGEL;Municipal;1.0;253.8;266.45;5.3375;5.3;4.76;274;Nível IV;14.9;394.6;Fortaleza;ESCOLA MUNICIPAL ANGELICA GURGEL;Municipal;83.3;0.0;4.1;0.0;12.6;85.35;90.7;3.285143;37.0;6.8;5;1.5;260.595061408019;241.904150430104;251.24960591906148;10.0;36.73076923076923;10.0;51.30890052356021
23065265;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DOM ANTONIO DE ALMEIDA LUSTOSA;Municipal;1.0;257.25;262.71;5.332667;5.3;4.48;115;Nível III;5.1;323.6;Fortaleza;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DOM ANTONIO DE ALMEIDA LUSTOSA;Municipal;93.9;6.1;0.0;0.0;0.0;98.78;100.0;1.897302;37.5;10.0;2;0.9;260.432296051134;249.660029346857;255.0461626989955;11.0;37.5;14.469453376205788;53.77777777777778
23065346;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ANTONIO GIRAO BARROSO;Municipal;1.0;284.3;286.03;6.172167;6.2;4.7;78;Nível IV;5.4;285.6;Fortaleza;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSOR ANTONIO GIRAO BARROSO;Municipal;100.0;0.0;0.0;0.0;0.0;100.0;100.0;2.344925;37.0;10.0;2;0.9;286.562251570543;272.003615636406;279.2829336034745;10.0;37.0;6.451612903225806;43.84384384384384
23065621;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE;Municipal;0.979518;274.66;285.29;5.999167;5.9;4.64;232;Nível IV;11.4;381.4;Fortaleza;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE;Municipal;95.3;0.0;0.0;0.0;4.7;95.3;93.8;2.505257;31.4;6.6;4;2.5;278.016054494446;267.89939748215;272.957725988298;9.0;27.571428571428573;12.12121212121212;50.51813471502591
23065834;ESCOLA MUNICIPAL BARBARA DE ALENCAR;Municipal;0.988167;238.28;247.86;4.769;4.7;4.63;240;Nível IV;10.4;415.4;Fortaleza;ESCOLA MUNICIPAL BARBARA DE ALENCAR;Municipal;97.4;0.0;2.6;0.0;0.0;98.7;100.0;2.517767;37.3;6.9;3;0.9;247.055988095646;236.992747317298;242.024367706472;9.0;37.29166666666666;10.44776119402985;54.52513966480447
23065958;ESCOLA MUNICIPAL PROFESSORA BELARMINA CAMPOS;Municipal;0.996463;250.46;268.6;5.317667;5.3;4.47;216;Nível III;9.5;384.5;Fortaleza;ESCOLA MUNICIPAL PROFESSORA BELARMINA CAMPOS;Municipal;92.0;0.0;8.0;0.0;0.0;96.0;100.0;2.26114;36.9;7.0;4;1.6;268.022449987813;239.990964539963;254.006707263888;9.0;27.84;9.917355371900827;53.01724137931034
23067390;ESCOLA MUNICIPAL CONCEICAO MOURAO;Municipal;0.994712;246.36;261.83;5.1365;5.1;4.69;189;Nível IV;15.3;385.2;Fortaleza;ESCOLA MUNICIPAL CONCEICAO MOURAO;Municipal;88.7;0.0;4.3;0.0;7.0;90.85;96.3;2.043658;35.9;7.0;3;2.7;252.24096030239;234.254659510651;243.2478099065205;10.0;35.94444444444444;7.954545454545454;51.622874806800624
