RENDIMENTO_2023;IDEB_2023;INSE_2023;TDI_2023;IED_2023;AFD_2023;DSU_2023;IRD_2023;ATU_2023;HAD_2023;ICG_2023;TNR_2023;SPAECE_MEDIA_2023;INF_2023;PCB_2023;PCH_2023
0.98992;5.0;4.6;16.0;375.6;86.6;91.4;2.857899;31.5;5.8;3;1.4;247.388127655601;9.0;18.19757365684575;49.53940634595701
0.997227;5.2;4.52;18.0;314.20000000000005;99.4;100.0;2.76455;33.3;10.0;2;3.0;249.04258922940448;8.0;20.37735849056604;53.63408521303258
0.993465;5.3;4.38;14.5;390.7000000000001;71.4;81.3;2.394396;32.1;6.8;5;0.0;249.0393049011465;10.0;12.736660929432016;50.882352941176464
1.0;5.3;4.76;14.9;394.6;85.35;90.7;3.285143;37.0;6.8;5;1.5;251.24960591906148;10.0;10.0;51.30890052356021
1.0;5.3;4.48;5.1;323.6;98.78;100.0;1.897302;37.5;10.0;2;0.9;255.0461626989955;11.0;14.469453376205788;53.77777777777778
1.0;6.2;4.7;5.4;285.6;100.0;100.0;2.344925;37.0;10.0;2;0.9;279.2829336034745;10.0;6.451612903225806;43.84384384384384
0.979518;5.9;4.64;11.4;381.4;95.3;93.8;2.505257;31.4;6.6;4;2.5;272.957725988298;9.0;12.12121212121212;50.51813471502591
0.988167;4.7;4.63;10.4;415.4;98.7;100.0;2.517767;37.3;6.9;3;0.9;242.024367706472;9.0;10.44776119402985;54.52513966480447
0.996463;5.3;4.47;9.5;384.5;96.0;100.0;2.26114;36.9;7.0;4;1.6;254.006707263888;9.0;9.917355371900827;53.01724137931034
0.994712;5.1;4.69;15.3;385.2;90.85;96.3;2.043658;35.9;7.0;3;2.7;243.2478099065205;10.0;7.954545454545454;51.622874806800624
1.0;4.9;4.5;13.2;381.7;93.25;100.0;2.315101;34.3;6.8;5;2.0;243.3157107227645;10.0;13.333333333333334;47.79005524861879
0.968864;4.7;4.48;16.4;383.4;97.25;100.0;2.713888;37.3;6.9;3;0.9;236.6511714830725;9.0;12.195121951219512;50.148809523809526
0.987411;4.6;4.74;15.9;381.7;87.64999999999999;90.7;2.497611;35.2;7.0;3;3.3;237.6548088560655;10.0;10.264900662251655;47.91929382093317
